Sensor 1: 
8x8 GRID
2998  417  339  325  315  387  341 1729
 802  318  378  342  333  375  366 1953
2025  410 1864  395  397  450 2034 1984
 450 1875 1865  360  483 1947 1879 1911
 346 1859 1900 1975 1852 1869 1972 1983
   0 1809 1837 1901 1911 1907 1994 1829
1451 1891 1832 1784 1857 1859 1796 1829
   0  668 1879 1785 1847 1810 1935 1815
Sensor 2: 
8x8 GRID
 300  330  313  335  367  326  347  309
 336  339  337  351  398  398 1978  296
 314  425  377  369  403 1998 1994 2046
 353 3061  389  416  464  372 2056 2019
1865 1973 2044  429 3721 1947 2019 1991
1842 1727 1838 1924 1873 1942 1909 1922
 894 1803 1897 1845 1844 1870 1921 1861
1717 1720 1738 1836 1789 1801 1834 1812
Sensor 1: 
8x8 GRID
2998  417  342  330  339  387  341 1729
 802  318  402  368  340  375  366 1953
2025  410 1864  420  409  450 2034 1984
 450 1875 1865  360  483 1947 1879 1911
 346 1859 1900 1975 1852 1869 1972 1983
   0 1809 1837 1877 1857 1907 1994 1829
1451 1891 1832 1852 1857 1859 1796 1871
   0  668 1879 1785 1847 1810 1935 1815
Sensor 2: 
8x8 GRID
 315  332  314  340  367  376  347  309
 336  339  332  334  447  398 1978  296
 314  425  381  374  425 1998 1994 2046
 353 3061  370  433  464  372 2056 2019
1865 1973 2044  429 3721 1947 2019 1993
1842 1727 1838 1924 1817 1942 1909 1922
1916 1803 1897 1846 1783 1947 1815 1861
1717 1720 1738 1836 1789 1801 1838 1812
Sensor 1: 
8x8 GRID
2998  417  361  324  329  387  341 1729
 802  318  404  360  338  375  366 1953 
2025  410 1864  388  411  450 2034 1969
 450 1875 1865  360  483 1947 1879 1911
 346 1859 1900 1975 1938 1869 1972 1899
   0 1809 1837 1899 1840 1907 1994 1829
1451 1891 1832 1852 1857 1859 1796 1814
   0  668 1879 1785 1847 1810 1935 1815
Sensor 2: 
8x8 GRID
 332  327  330  352  367  376  347  309
 336  339  346  351  385  398 1978  296
 314  425  359  384  417 1998 1994 2046
 353 1815  370  475  482  372 2056 2008
1865 1973 2044  429 3721 1947 2019 2007
1842 1866 1846 1924 1817 1942 1909 1922
1916 1803 1897 1846 1841 1947 1815 1901
1717 1720 1738 1836 1789 1801 1863 1812
Sensor 1: 
8x8 GRID
2998  417  333  334  334  387  341 1729
 802  318  413  352  374  375  366 1953
2025  410 1864  424  392  450 2034 1969
 450 1875 1865  360  483 1918 1879 1911
 346 1859 1900 1975 1935 1869 1972 1870
   0 1809 1837 1866 1884 1907 1994 1829 
1451 1891 1832 1852 1857 1859 1796 1814
   0  668 1879 1785 1847 1810 1935 1815
Sensor 2: 
8x8 GRID
 330  339  324  365  367  376  347  309
 336  339  331  359  389  398 1978  296
 314  425  379  399  451 1998 1994 2046
 353 1815  370  457  482  372 2056 2008
1865 1973 2044  429 3721 1947 2019 2007
1807 1866 1846 1924 1817 1942 1909 1922
1916 1803 1897 1818 1841 1802 1815 1901
1717 1720 1738 1836 1789 1801 1806 1812
Sensor 1: 
8x8 GRID
2998  417  345  325  338  387  341 1729
 802  318  399  371  379  375  366 1953
2025  410 1864  416  417  450 2034 1969
 450 1875 1865  360  483 1892 1879 1911
 346 1859 1900 1975 1904 1869 1972 1870
   0 1809 1837 1880 1840 1907 1994 1829
1451 1891 1832 1852 1857 1859 1796 1814
   0  668 1879 1785 1847 1810 1935 1815
Sensor 2: 
8x8 GRID
 328  344  325  364  367  376  347  309
 336  339  336  359  375  398 1978  296
 314  425  389  403  478 1998 1994 2046
 353 1864  370  508  482  372 2056 2008
1865 1973 2044  429 2034 1947 2019 2007
1825 1866 1871 1924 1817 1942 1909 1922
1916 1803 1897 1855 1863 1835 1815 1901
1717 1720 1738 1799 1789 1801 1848 1812
Sensor 1: 
8x8 GRID
2998  367  353  328  358  387  341 1729
 802  318  410  382  380  375  366 1953
2025  410 1864  408  444  450 2034 1969
 450 1875 1865 1960  483 1892 1879 1911
 346 1859 1900 1975 1904 1869 1972 1870
   0 1809 1837 1906 1872 1907 1994 1829
1451 1891 1832 1852 1857 1859 1796 1814
   0  668 1879 1785 1847 1810 1935 1815
Sensor 2: 
8x8 GRID
 326  352  332  366  367  376  347  309
 336  339  355  373  375  398 1978  296
 314  425  384  396  478 1998 1994 2046
 353 1864  370  455  482  372 2056 2008
1865 1973 2044  429 2034 1947 2019 1986
